"country code","continent","country","date","total_cases","new_cases","total deaths","total cases per million","total deaths per million","population","life expectancy","human development index"
"VCT","North America","Saint Vincent and the Grenadines","2020-12-16","100.0","2.0",,"901.331",,,,"2.6","72.53","0.723"
"TTO","North America","Trinidad and Tobago","2020-12-16","6917.0","17.0","123.0","4942.511","87.889",,"89.443","3.0","73.51","0.784"
"USA","North America","United States","2020-12-16","16964180.0","247403.0","307429.0","51250.889","928.781",,,"2.77","78.86","0.924"
"AUS","Oceania","Australia","2020-12-16","28072.0","12.0","908.0","1100.868","35.608",,,"3.84","83.44","0.939"
"FJI","Oceania","Fiji","2020-12-16","46.0","0.0","2.0","51.314","2.231",,,"2.3","67.44","0.741"
"MHL","Oceania","Marshall Islands","2020-12-16","4.0","0.0",,"67.574",,,"82.502","2.7","73.7","0.708"
"NZL","Oceania","New Zealand","2020-12-16","2100.0","0.0","25.0","435.483","5.184",,,"2.61","82.29","0.917"
"PNG","Oceania","Papua New Guinea","2020-12-16","729.0","0.0","8.0","81.48","0.894",,,,"64.5","0.544"
"WSM","Oceania","Samoa","2020-12-16","2.0","0.0",,"10.08",,,,,"73.32","0.713"
"SLB","Oceania","Solomon Islands","2020-12-16","17.0","0.0",,"24.75",,,"35.89","1.4","73.0","0.546"
"VUT","Oceania","Vanuatu","2020-12-16","1.0","0.0",,"3.256",,,"25.209",,"70.47","0.603"
"ARG","South America","Argentina","2020-12-16","1517046.0","6843.0","41365.0","33566.101","915.24",,,"5.0","76.67","0.825"
"BOL","South America","Bolivia","2020-12-16","148214.0","498.0","9029.0","12697.133","773.492",,"25.383","1.1","71.51","0.693"
"BRA","South America","Brazil","2020-12-16","7040608.0","70574.0","183735.0","33123.013","864.394",,,"2.2","75.88","0.759"
"CHL","South America","Chile","2020-12-16","576731.0","1402.0","15959.0","30169.737","834.841",,,"2.11","80.18","0.843"
"COL","South America","Colombia","2020-12-16","1456599.0","11953.0","39560.0","28626.502","777.472",,"65.386","1.71","77.29","0.747"
"ECU","South America","Ecuador","2020-12-16","203461.0","1105.0","13915.0","11532.07","788.695",,"80.635","1.5","77.01","0.752"
"GUY","South America","Guyana","2020-12-16","6016.0","43.0","158.0","7648.504","200.875",,"77.159","1.6","69.91","0.654"
"PRY","South America","Paraguay","2020-12-16","96209.0","856.0","2014.0","13488.762","282.368",,"79.602","1.3","74.25","0.702"
"PER","South America","Peru","2020-12-16","986130.0","0.0","36754.0","29908.244","1114.709",,,"1.6","76.74","0.75"
"SUR","South America","Suriname","2020-12-16","5401.0","20.0","117.0","9206.763","199.443",,"67.779","3.1","71.68","0.72"
"URY","South America","Uruguay","2020-12-16","10893.0","475.0","102.0","3135.825","29.363",,,"2.8","77.91","0.804"
"VEN","South America","Venezuela","2020-12-16","108717.0","237.0","970.0","3823.225","34.112",,,"0.8","72.06","0.761"
"OWID_WRL","World","World","2020-12-16","74210350.0","734370.0","1648956.0","9520.496","211.546","0.002","60.13","2.705","72.58",
